x_axis_emp_AHI,a_RLH2_habit_weight,b_RLH2_alpha_action,c_RLH2_alpha_P,d_RLH2_alpha_N,e_RLH2_posbias
3.33,0.9996038397227448,0.5405031326072668,0.00297227740985247,0.5181436458285338,-0.5151713684186813
3.25,0.9999597660371676,0.0876580729011951,5.171135000017959e-5,0.12953997955729174,-0.12948826820729156
3.25,0.999848005861159,0.30030902198991916,7.599417029139697e-6,0.125252244895914,-0.12524464547888486
3.88,0.7160247866303137,0.920749802481348,1.2343896945599943e-5,0.01175921125885111,-0.01174686736190551
2.88,0.9999922094795972,1.1155037947913206e-8,0.830166233321229,0.03035983539736782,0.7998063979238611
2.5,0.14349560050375987,0.9898982448051474,0.04400469027142275,0.03502612950666003,0.008978560764762722
3.33,0.36158901103756613,0.3040017973153196,0.3172089226800192,0.04739189428623867,0.2698170283937805
2.63,0.4859846092322156,0.03479258859019595,0.9999982475964448,0.13795006406714783,0.862048183529297
2.92,0.4296804291047238,6.664923239449078e-6,0.02340847078837971,1.983796934728068e-7,0.023408272408686235
3.79,0.16027144853755157,0.2325151902822992,1.0497366075609064e-5,0.25297106008180814,-0.25296056271573253
3.33,0.3534879248222308,0.2826505181957381,0.00534542482755895,0.00649460358400299,-0.00114917875644404
3.67,5.635893033845128e-10,0.5078466697074068,0.2273879604306751,0.6426514913604008,-0.4152635309297257
3.13,0.9999829844365788,0.5408615749318446,9.62430607859682e-6,0.08189806025739012,-0.08188843595131153
3.79,0.9999211790012144,0.07093213018756414,0.05691173008406118,0.6831254602312559,-0.6262137301471947
3.63,0.9999086534094344,0.01846934146199495,1.3396981500906026e-6,0.5505123237850643,-0.5505109840869142
2.46,0.99949896634984,0.07756982732512237,4.776329860430048e-5,0.0965679524547735,-0.0965201891561692
3.79,0.9999627933090384,0.0945651666298829,0.656210488386628,0.2614554414623299,0.3947550469242981
3.5,0.03802234287243133,0.02552411098237499,0.06523200462275855,2.9679479251512903e-6,0.0652290366748334
2.21,0.9961500698867096,0.23922103487631077,0.0033354604611708,0.07699578269850739,-0.0736603222373366
3.46,0.8454211009739261,0.07859169692677224,0.6029341785783535,2.513633121014982e-4,0.602682815266252
3.04,0.9999959697873796,0.13284307954496033,0.32254989490770447,0.9999434300769994,-0.6773935351692949
3.67,0.9476843064143652,5.2513070254921725e-9,0.00137008625464261,0.04759668358316036,-0.04622659732851775
2.25,0.9996951408356778,0.07544897430717915,8.592573614559107e-8,0.16283787281379153,-0.1628377868880554
3.42,0.9999933758072184,2.703561779392094e-7,0.18845062936003412,0.7962130800876887,-0.6077624507276546
3.33,0.10685993849277958,0.9550502615851084,5.863900510613745e-4,0.0010201203098208,-4.3373025875942557e-4
2,0.11455653700131946,0.4763734478477238,0.03584466057808649,0.02546167697403283,0.01038298360405366
4.5,0.9674662096365316,0.9999999966523831,0.968798619516378,0.02197782352309519,0.9468207959932828
3.17,0.97960575396329,0.04454098905151267,0.37822119852220415,2.0856103059246445e-5,0.3782003424191449
4.42,0.7682755904724651,0.2120519900899097,0.00691833367803698,0.7846328236823459,-0.7777144900043089
2.83,0.5176805942605949,0.4062714045543762,5.262100744793195e-4,0.01993529823152411,-0.019409088157044792
1.83,0.9998427165481152,0.38907015917742094,0.9991691984308776,0.9042424334394265,0.09492676499145114
3.29,0.9999829619009424,0.27867076949606007,6.542901572988114e-8,0.01178592637892633,-0.0117858609499106
2.96,0.9463249672213638,0.01849119420776155,0.00208102618458819,0.04871358845848768,-0.04663256227389949
3.79,0.9999986882555632,2.3061416104292577e-8,0.9962259535417112,0.0299132977802108,0.9663126557615004
2.5,0.9999891386394264,0.4434750800663896,0.9943271411060134,0.5590867840557444,0.435240357050269
2.5,0.7907430587905873,0.06787126696563985,8.475350796845478e-4,0.06776597495861755,-0.066918439878933
3.38,0.9999384199282751,0.2637383289405118,0.8573658133874973,0.9733265858638388,-0.11596077247634151
3.46,0.29289160292082894,0.99999750494437,8.917036553081727e-4,0.01645268931267489,-0.015560985657366716
4.17,0.4004245952114835,0.25657442366772504,0.00634418014317729,0.07637055205873593,-0.07002637191555863
1.88,0.9988954484785334,0.18885311453415196,5.9458248891674955e-6,0.16556798868038675,-0.16556204285549758
4.29,0.65012327972229,0.40771032382928174,0.11476543757693536,0.2453923991348217,-0.13062696155788633
4.08,0.998443025007762,0.5059107681685808,0.08581937969533357,0.3631473252213555,-0.2773279455260219
3.92,0.999997187026566,3.1554210092266924e-5,0.5782672689786919,0.08692683550144775,0.4913404334772441
2.63,0.7925638932067196,0.20427693066186112,0.00538525161252764,0.00115643372486509,0.00422881788766255
2.08,0.9999729771705148,0.08378140289546251,0.21142586457619544,0.510477792992085,-0.2990519284158895
2.96,0.999982381184773,0.6307500993526267,6.213499387007219e-6,0.0720286328952623,-0.0720224193958753
